,Number of Splits,Trial,Distance,Average
2,2,18,1.1495250290979355,Euclidean-mean
3,2,18,1.7320447636848602,Random
0,2,19,0.1427537940653289,FL-mean
1,2,19,0.3266581575046439,GR-mean
2,2,19,1.7121575578847168,Euclidean-mean
3,2,19,1.731913867377492,Random
0,3,0,0.16168870247083617,FL-mean
1,3,0,0.35756853312644704,GR-mean
2,3,0,1.051854258701967,Euclidean-mean
3,3,0,1.7317275553354847,Random
0,3,1,0.2189553331766681,FL-mean
1,3,1,0.40734894653273823,GR-mean
2,3,1,0.9049895123385402,Euclidean-mean
3,3,1,1.7319100091941906,Random
0,3,2,0.283965155535288,FL-mean
1,3,2,0.6233620002911416,GR-mean
2,3,2,0.7250702996474815,Euclidean-mean
3,3,2,1.7316736333050058,Random
0,3,3,0.19380302767778979,FL-mean
1,3,3,0.4405114047255859,GR-mean
2,3,3,0.6125996708592838,Euclidean-mean
3,3,3,1.7320086235568848,Random
0,3,4,0.15570212799317745,FL-mean
1,3,4,0.6831830662431594,GR-mean
2,3,4,0.503280356550859,Euclidean-mean
3,3,4,1.7319152911917377,Random
0,3,5,0.35117118288501553,FL-mean
1,3,5,0.42853076395291884,GR-mean
2,3,5,1.048211172426722,Euclidean-mean
3,3,5,1.7319549881114173,Random
0,3,6,0.3746186981274399,FL-mean
1,3,6,0.889990842978706,GR-mean
2,3,6,0.8535570299576261,Euclidean-mean
3,3,6,1.732017903279605,Random
0,3,7,0.2020998815570133,FL-mean
1,3,7,0.454978876709648,GR-mean
2,3,7,0.8817829209465798,Euclidean-mean
3,3,7,1.732031603313631,Random
0,3,8,0.1567147947469571,FL-mean
1,3,8,0.3395186667323273,GR-mean
2,3,8,0.5688235720158596,Euclidean-mean
3,3,8,1.7320143299290576,Random
0,3,9,0.1713949785365436,FL-mean
1,3,9,0.3220625594195142,GR-mean
2,3,9,0.43562938732219264,Euclidean-mean
3,3,9,1.7317041440058656,Random
0,3,10,0.15080319717719354,FL-mean
1,3,10,0.29062133466672774,GR-mean
2,3,10,0.1492725582700203,Euclidean-mean
3,3,10,1.7318540904602244,Random
0,3,11,0.12547048624969467,FL-mean
1,3,11,0.355380212375309,GR-mean
2,3,11,0.13499245933989176,Euclidean-mean
3,3,11,1.7316710734528933,Random
0,3,12,0.13610099031625233,FL-mean
1,3,12,0.32511687731804007,GR-mean
2,3,12,0.9167265967888838,Euclidean-mean
3,3,12,1.7317293824217665,Random
0,3,13,0.2137600176429806,FL-mean
1,3,13,0.2062545839003957,GR-mean
2,3,13,0.4958293777988056,Euclidean-mean
3,3,13,1.7310088633000427,Random
0,3,14,0.189583523795206,FL-mean
1,3,14,0.36777058599361084,GR-mean
2,3,14,0.20774749625434144,Euclidean-mean
3,3,14,1.7320085627310928,Random
0,3,15,0.21949125278617118,FL-mean
1,3,15,0.23008194380438843,GR-mean
2,3,15,0.85056811300927,Euclidean-mean
3,3,15,1.7319383596200868,Random
0,3,16,0.15886860807877096,FL-mean
1,3,16,0.4765914848916033,GR-mean
2,3,16,0.8979028827466202,Euclidean-mean
3,3,16,1.7316988391189716,Random
0,3,17,0.15048754881515372,FL-mean
1,3,17,0.2208915150507603,GR-mean
2,3,17,0.8393792548300542,Euclidean-mean
3,3,17,1.7320284321622974,Random
0,3,18,0.1911886260847613,FL-mean
1,3,18,0.25568485520294526,GR-mean
2,3,18,0.8843425777976401,Euclidean-mean
3,3,18,1.7320415071460884,Random
0,3,19,0.3344846716832512,FL-mean
1,3,19,0.3801543809330917,GR-mean
2,3,19,0.8007478831853762,Euclidean-mean
3,3,19,1.7320316717351774,Random
0,4,0,0.24149087476562547,FL-mean
1,4,0,0.2558884628716717,GR-mean
2,4,0,0.6227123647654551,Euclidean-mean
3,4,0,1.7319212173476464,Random
0,4,1,0.2220874634326564,FL-mean
1,4,1,0.2473763927662111,GR-mean
2,4,1,1.3902198031309432,Euclidean-mean
3,4,1,1.7320496974435833,Random
0,4,2,0.2212110126427999,FL-mean
1,4,2,0.19924606402042258,GR-mean
2,4,2,1.512569148947483,Euclidean-mean
3,4,2,1.731957185366446,Random
0,4,3,0.1609420446856793,FL-mean
1,4,3,0.27661183262073147,GR-mean
2,4,3,1.05302721167602,Euclidean-mean
3,4,3,1.7320070456396734,Random
0,4,4,0.16149795206536638,FL-mean
1,4,4,0.16576595255442986,GR-mean
2,4,4,1.260390783028459,Euclidean-mean
3,4,4,1.731683642006907,Random
0,4,5,0.3301232463857501,FL-mean
1,4,5,0.3268038539219911,GR-mean
2,4,5,1.4757300498914556,Euclidean-mean
3,4,5,1.7319811963261882,Random
0,4,6,0.25261038368795685,FL-mean
1,4,6,1.4224230603703198,GR-mean
2,4,6,0.5276231639203951,Euclidean-mean
3,4,6,1.7320496156522487,Random
0,4,7,0.23909469362499203,FL-mean
1,4,7,0.3835260700080776,GR-mean
2,4,7,1.4757664126206913,Euclidean-mean
3,4,7,1.7318095096695945,Random
0,4,8,0.3435320830961035,FL-mean
1,4,8,0.31505580994185733,GR-mean
2,4,8,1.4960936173719286,Euclidean-mean
3,4,8,1.732029487819179,Random
0,4,9,0.15879191913935747,FL-mean
1,4,9,0.26703021829722196,GR-mean
2,4,9,1.100586328675621,Euclidean-mean
3,4,9,1.731961964087236,Random
0,4,10,0.4550735440966546,FL-mean
1,4,10,0.6073179235258126,GR-mean
2,4,10,1.620562284752471,Euclidean-mean
3,4,10,1.731866405205029,Random
0,4,11,0.26942298359826244,FL-mean
1,4,11,0.5513244050963899,GR-mean
